index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit
43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,1,0,0,0,Sales staff,2.0,-8.0,1.0
44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,-15125,-199,1,0,0,0,Drivers,2.0,-26.0,2.0
45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,-18655,-3200,1,1,1,0,High skill tech staff,2.0,-4.0,0.0
46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21100,365243,1,0,1,0,,1.0,-24.0,2.0
47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-18409,-3482,1,0,0,0,Sales staff,2.0,-48.0,2.0
48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,365243,1,0,0,0,,2.0,-4.0,2.0
49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18858,-2010,1,0,1,0,,2.0,-12.0,2.0
50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13951,-1101,1,1,0,0,Sales staff,3.0,-4.0,2.0
51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,-8917,-1101,1,0,0,1,Drivers,2.0,-10.0,2.0
52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24044,365243,1,0,1,0,,2.0,-37.0,2.0
53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,-13541,-3965,1,0,0,0,Core staff,4.0,-42.0,2.0
54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,-15626,-422,1,0,0,0,,3.0,-2.0,1.0
55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,1,0,0,0,Laborers,2.0,-24.0,2.0
56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,1,0,1,0,Laborers,2.0,-29.0,2.0
57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,1,0,0,0,Core staff,1.0,-3.0,1.0
58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23334,365243,1,0,0,0,,2.0,-23.0,2.0
59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-22985,365243,1,0,1,0,,2.0,-25.0,2.0
60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21397,365243,1,0,0,0,,1.0,-1.0,1.0
61,M,Y,N,1,270000.0,Commercial associate,Higher education,Married,House / apartment,-11373,-1371,1,0,0,0,Managers,3.0,-15.0,2.0
62,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-17402,-3153,1,0,1,0,Core staff,2.0,-40.0,1.0
63,M,Y,Y,0,315000.0,Working,Higher education,Married,House / apartment,-15586,-3337,1,0,0,0,Managers,2.0,-21.0,2.0
64,M,Y,N,0,67500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9047,-716,1,0,0,0,Security staff,1.0,-32.0,2.0
65,F,N,Y,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,-12729,-4936,1,1,0,0,Cleaning staff,2.0,-10.0,2.0
66,M,N,Y,1,144000.0,Working,Secondary / secondary special,Married,House / apartment,-13761,-2783,1,0,0,0,Laborers,3.0,-4.0,1.0
67,F,N,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-12135,-1216,1,0,0,0,High skill tech staff,4.0,-2.0,1.0
68,F,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10309,-1610,1,0,0,0,Laborers,2.0,-14.0,1.0
69,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-15462,-2969,1,0,0,1,Medicine staff,2.0,-59.0,2.0
70,M,N,Y,0,81000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9874,-1928,1,0,1,0,Laborers,1.0,-39.0,2.0
71,M,Y,N,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15904,-3787,1,0,0,0,Laborers,4.0,-54.0,2.0
72,F,N,N,0,351000.0,Commercial associate,Higher education,Married,House / apartment,-21574,-1081,1,0,1,0,,2.0,-4.0,2.0
73,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23269,365243,1,0,1,0,,2.0,-34.0,2.0
74,F,N,Y,1,67500.0,Working,Secondary / secondary special,Married,House / apartment,-10350,-219,1,1,1,0,Sales staff,3.0,-25.0,2.0
75,F,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15653,-5500,1,0,0,1,Core staff,2.0,-34.0,2.0
76,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-13557,-586,1,1,1,0,,2.0,-15.0,2.0
77,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-9818,-520,1,0,0,0,Core staff,1.0,-7.0,1.0
78,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12690,-231,1,1,0,0,Sales staff,2.0,-23.0,1.0
79,F,Y,Y,1,225000.0,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,2.0,-2.0,0.0
80,F,N,Y,0,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-17862,-212,1,0,0,0,Laborers,2.0,-2.0,1.0
81,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10314,-962,1,0,0,1,Sales staff,2.0,0.0,0.0
82,F,Y,Y,0,216000.0,Working,Higher education,Civil marriage,House / apartment,-15274,-1423,1,0,0,1,Accountants,2.0,-53.0,2.0
83,F,N,N,2,180000.0,Working,Higher education,Married,House / apartment,-11905,-1700,1,0,0,0,High skill tech staff,4.0,-38.0,1.0
84,M,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23563,365243,1,0,1,0,,2.0,-27.0,2.0
85,M,Y,N,0,184500.0,Working,Secondary / secondary special,Married,Municipal apartment,-18013,-1215,1,0,0,0,Laborers,2.0,-41.0,1.0
86,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12571,-451,1,1,0,1,Drivers,3.0,-45.0,2.0
87,F,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-13270,-235,1,1,1,1,Core staff,1.0,-56.0,2.0
88,F,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20412,-5427,1,0,0,0,Managers,2.0,-45.0,2.0
89,M,N,N,0,450000.0,Commercial associate,Incomplete higher,Married,House / apartment,-14465,-4145,1,1,1,0,Managers,2.0,-59.0,2.0
90,F,N,Y,0,45000.0,State servant,Secondary / secondary special,Married,House / apartment,-20200,-9404,1,1,0,0,Cleaning staff,2.0,-30.0,2.0
91,F,Y,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-18744,-2988,1,0,0,0,Private service staff,2.0,-20.0,2.0
92,M,Y,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12190,-691,1,0,0,0,Laborers,3.0,-5.0,2.0
93,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19053,-3629,1,0,0,0,High skill tech staff,1.0,-22.0,1.0
94,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23770,365243,1,0,0,0,,2.0,-26.0,2.0
95,M,N,Y,0,79650.0,Pensioner,Secondary / secondary special,Married,House / apartment,-16081,365243,1,0,1,0,,2.0,-14.0,2.0
96,M,N,Y,0,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-23674,-2087,1,0,0,0,Security staff,2.0,-56.0,2.0
97,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-9373,-1212,1,0,0,0,Drivers,2.0,-46.0,2.0
98,M,Y,Y,0,450000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10837,-588,1,0,0,1,Sales staff,1.0,-5.0,2.0
99,F,N,N,0,270000.0,State servant,Secondary / secondary special,Separated,House / apartment,-19363,-12332,1,0,1,1,Medicine staff,1.0,-35.0,2.0
100,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-22112,-8491,1,0,0,0,Private service staff,2.0,-9.0,2.0
101,F,N,Y,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-19661,-3046,1,1,1,0,Managers,2.0,-2.0,1.0
102,F,N,N,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12269,-604,1,0,0,0,Managers,3.0,-12.0,2.0
103,M,Y,N,0,315000.0,Working,Higher education,Married,House / apartment,-15825,-3720,1,1,1,0,Managers,2.0,-12.0,2.0
104,M,Y,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-15994,-2537,1,0,1,0,Sales staff,1.0,-7.0,0.0
105,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984,-2606,1,0,0,0,Laborers,2.0,-5.0,2.0
106,F,N,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-16118,-1959,1,0,1,0,,3.0,-47.0,2.0
107,F,Y,N,1,306000.0,Working,Higher education,Married,House / apartment,-9310,-1678,1,0,0,0,,3.0,-4.0,1.0
108,F,N,Y,0,153000.0,Working,Higher education,Single / not married,House / apartment,-10762,-683,1,0,1,0,Core staff,1.0,-22.0,2.0
109,F,N,Y,0,126000.0,Working,Secondary / secondary special,Married,House / apartment,-22811,-2234,1,1,1,0,High skill tech staff,2.0,-13.0,2.0
110,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-12846,-164,1,0,0,0,Managers,2.0,-57.0,2.0
111,M,Y,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16175,-2371,1,0,0,0,Drivers,3.0,-44.0,2.0
112,F,N,N,0,193500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17826,-201,1,0,1,0,Laborers,1.0,-4.0,2.0
113,F,N,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17384,-1138,1,0,0,0,Cooking staff,4.0,-36.0,1.0
114,M,Y,Y,2,135000.0,Working,Higher education,Married,House / apartment,-11564,-2944,1,0,0,1,Managers,4.0,-43.0,2.0
115,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20920,365243,1,0,0,0,,2.0,-49.0,2.0
116,F,Y,Y,1,382500.0,Working,Secondary / secondary special,Married,House / apartment,-14317,-2751,1,0,0,0,Managers,3.0,-11.0,2.0
117,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16173,-674,1,0,0,0,Sales staff,2.0,-27.0,2.0
118,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-18259,-5756,1,0,1,0,Sales staff,2.0,-47.0,2.0
119,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-12393,-1854,1,1,1,0,Cooking staff,4.0,0.0,1.0
120,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21497,365243,1,0,0,0,,1.0,-4.0,1.0
121,F,N,N,0,144000.0,Working,Secondary / secondary special,Married,Municipal apartment,-16641,-9988,1,1,1,0,Sales staff,2.0,-35.0,2.0
122,F,Y,Y,2,283500.0,State servant,Higher education,Married,House / apartment,-12902,-4120,1,0,0,0,Core staff,4.0,-39.0,2.0
123,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19431,-6226,1,0,0,0,High skill tech staff,2.0,-48.0,2.0
124,F,Y,Y,2,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15525,-3357,1,0,0,0,Accountants,4.0,-55.0,2.0
125,M,N,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12483,-4039,1,0,0,0,Managers,2.0,-42.0,2.0
126,F,Y,N,1,175500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-11709,-4983,1,0,0,0,Laborers,2.0,-45.0,2.0
127,M,Y,Y,1,360000.0,Commercial associate,Higher education,Married,House / apartment,-16537,-410,1,0,1,1,Laborers,3.0,-30.0,2.0
128,F,N,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13741,-5221,1,0,0,0,Laborers,3.0,-38.0,1.0
129,M,N,N,1,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17537,-1749,1,0,0,0,Laborers,3.0,-11.0,2.0
130,F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-15519,-3234,1,0,0,0,Laborers,1.0,-1.0,0.0
131,F,Y,N,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-14228,-5330,1,0,1,0,,2.0,-33.0,0.0
132,F,N,N,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10559,-429,1,1,1,0,Drivers,2.0,-35.0,2.0
133,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,-13168,-2574,1,0,0,0,Managers,3.0,-22.0,2.0
134,F,Y,Y,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22991,365243,1,0,0,0,,1.0,-6.0,2.0
135,M,Y,N,1,337500.0,Commercial associate,Higher education,Separated,House / apartment,-15333,-196,1,0,1,0,Managers,2.0,-23.0,0.0
136,F,N,N,1,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12640,-399,1,0,0,0,Accountants,3.0,-29.0,2.0
137,F,Y,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13591,-3246,1,0,0,0,Sales staff,3.0,-46.0,2.0
138,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24367,365243,1,0,0,0,,2.0,-2.0,0.0
139,F,Y,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13590,-982,1,0,1,0,,2.0,-39.0,2.0
140,M,Y,Y,1,180000.0,Working,Higher education,Married,With parents,-11917,-1680,1,1,0,0,Laborers,3.0,-15.0,0.0
141,F,Y,Y,1,112500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10551,-3000,1,0,0,1,Core staff,3.0,-12.0,2.0
142,M,Y,Y,0,360000.0,Working,Higher education,Married,House / apartment,-22456,-1934,1,0,1,0,Managers,2.0,-11.0,2.0
143,F,Y,Y,0,256500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13821,-1071,1,0,0,1,Core staff,2.0,-45.0,2.0
144,F,Y,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-10351,-1322,1,0,0,0,,2.0,-8.0,2.0
145,F,Y,N,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,-19598,-11940,1,0,1,0,Medicine staff,2.0,-7.0,2.0
146,F,N,N,0,247500.0,Working,Higher education,Married,House / apartment,-14136,-7400,1,1,1,0,Managers,2.0,-6.0,1.0
147,F,N,Y,0,157500.0,Working,Higher education,Married,House / apartment,-12681,-709,1,0,0,0,Sales staff,2.0,-11.0,1.0
148,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-14496,-808,1,0,1,0,,2.0,-26.0,2.0
149,F,N,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-12974,-2379,1,0,0,0,Laborers,4.0,-49.0,1.0
150,F,Y,N,1,157500.0,Working,Higher education,Married,House / apartment,-11900,-2828,1,0,0,0,Laborers,3.0,-41.0,2.0
151,M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15344,-314,1,0,0,0,Drivers,2.0,-33.0,2.0
152,F,Y,Y,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,-10597,-574,1,1,0,0,Medicine staff,1.0,-35.0,2.0
153,M,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17975,-3476,1,0,0,0,Drivers,2.0,-32.0,1.0
154,F,N,N,0,175500.0,Working,Secondary / secondary special,Married,House / apartment,-18868,-10993,1,1,0,0,,2.0,-46.0,2.0
155,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20362,365243,1,0,0,0,,2.0,-35.0,2.0
156,M,N,Y,1,135000.0,Working,Secondary / secondary special,Separated,House / apartment,-16728,-880,1,0,0,0,Laborers,2.0,-38.0,2.0
157,M,N,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,-10087,-1447,1,0,0,0,,4.0,-44.0,2.0
158,M,N,Y,1,202500.0,State servant,Higher education,Married,House / apartment,-10756,-2355,1,0,0,0,Core staff,3.0,-39.0,2.0
159,F,N,Y,0,153000.0,Pensioner,Higher education,Married,House / apartment,-21899,365243,1,0,1,0,,2.0,-51.0,1.0
160,F,Y,Y,1,72000.0,Working,Secondary / secondary special,Married,House / apartment,-17136,-1266,1,0,0,0,Sales staff,3.0,-11.0,2.0
161,M,Y,Y,2,360000.0,Working,Secondary / secondary special,Married,House / apartment,-13465,-839,1,0,1,0,Managers,4.0,-33.0,0.0
162,F,N,N,1,540000.0,Working,Secondary / secondary special,Separated,House / apartment,-16409,-2045,1,1,0,0,Managers,2.0,-60.0,2.0
163,F,N,Y,0,155250.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22044,365243,1,0,0,0,,2.0,-24.0,2.0
164,M,Y,Y,0,189000.0,Working,Secondary / secondary special,Married,House / apartment,-20815,-829,1,0,0,1,Security staff,2.0,-3.0,1.0
165,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,-21017,-895,1,1,1,0,,2.0,-4.0,1.0
166,F,N,Y,0,495000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21596,365243,1,0,1,0,,1.0,-15.0,2.0
167,M,Y,N,0,459000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15980,-119,1,1,1,0,Drivers,2.0,-14.0,2.0
168,F,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-19702,-9870,1,1,1,0,,2.0,-21.0,1.0
169,F,N,Y,1,225000.0,Working,Secondary / secondary special,Separated,House / apartment,-14077,-3792,1,0,0,0,,2.0,-3.0,1.0
170,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18173,-678,1,0,1,1,Core staff,3.0,-60.0,2.0
171,F,N,N,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15499,-869,1,0,0,0,Private service staff,2.0,-2.0,0.0
172,M,N,Y,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15812,-8091,1,0,0,0,,3.0,-49.0,1.0
173,F,N,Y,0,189000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23086,365243,1,0,0,0,,2.0,-19.0,0.0
174,F,N,Y,0,225000.0,Commercial associate,Higher education,Married,House / apartment,-10755,-1040,1,0,0,1,Sales staff,2.0,-15.0,2.0
175,M,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10705,-1376,1,0,0,0,Drivers,2.0,-2.0,1.0
176,F,Y,N,0,315000.0,State servant,Higher education,Married,House / apartment,-17940,-9957,1,1,0,0,Managers,2.0,-26.0,2.0
177,F,N,N,0,157500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-11785,-1415,1,0,0,0,,1.0,-22.0,1.0
178,M,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20288,365243,1,0,0,0,,2.0,-12.0,2.0
179,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,-16990,-2026,1,0,0,0,Drivers,2.0,-19.0,2.0
180,F,Y,Y,0,720000.0,Commercial associate,Higher education,Separated,House / apartment,-20791,-4814,1,1,1,0,Managers,1.0,-58.0,2.0
181,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20718,365243,1,0,0,0,,2.0,-5.0,0.0
182,F,N,Y,2,67500.0,Working,Higher education,Married,House / apartment,-10281,-961,1,1,0,0,,4.0,-12.0,0.0
183,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22861,365243,1,0,1,0,,2.0,-42.0,1.0
184,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Office apartment,-15092,-995,1,0,0,1,Drivers,2.0,-46.0,2.0
185,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803,-2227,1,1,1,0,Cleaning staff,1.0,-49.0,2.0
186,F,Y,Y,0,216000.0,Working,Higher education,Married,House / apartment,-18529,-1809,1,0,0,0,Secretaries,2.0,-10.0,2.0
187,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13830,-4239,1,0,0,0,Laborers,3.0,-4.0,1.0
188,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-20027,365243,1,0,0,0,,1.0,-26.0,0.0
189,F,N,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16573,-4574,1,0,0,0,,2.0,-44.0,2.0
190,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23262,365243,1,0,1,0,,1.0,-13.0,0.0
191,F,N,N,0,121500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21310,365243,1,0,0,0,,2.0,-28.0,2.0
