id,name,age,continent,contract_until,position,prefer_foot,reputation,stat_overall,stat_potential,stat_skill_moves,value
107,V. Kompany,32,europe,2019,DF,right,4.0,85,85,2.0,22000000.0
108,Pepe,35,europe,2019,DF,right,4.0,85,85,2.0,9000000.0
109,Z. Ibrahimović,36,europe,2022,ST,right,5.0,85,85,5.0,14000000.0
110,D. Sánchez,22,south america,2024,DF,right,2.0,84,88,2.0,34000000.0
112,Alex Telles,25,south america,2021,DF,left,3.0,84,87,3.0,32000000.0
114,Bruno Fernandes,23,europe,2023,MF,right,2.0,84,88,4.0,40500000.0
115,N. Süle,22,europe,2022,DF,right,2.0,84,90,2.0,36500000.0
118,Fabinho,24,south america,2023,MF,right,3.0,84,88,3.0,34000000.0
119,Marquinhos,24,south america,2022,MF,right,3.0,84,89,2.0,35500000.0
121,Jorginho,26,europe,2023,MF,right,2.0,84,87,3.0,38000000.0
123,Carvajal,26,europe,2022,DF,right,3.0,84,87,3.0,31500000.0
124,M. Depay,24,europe,2021,ST,right,3.0,84,89,5.0,42000000.0
126,A. Lopes,27,europe,2020,GK,left,2.0,84,86,1.0,25000000.0
127,S. de Vrij,26,europe,2023,DF,right,3.0,84,86,2.0,31500000.0
128,M. Perin,25,europe,2022,GK,right,2.0,84,89,1.0,29500000.0
129,J. Cuadrado,30,south america,2020,MF,right,3.0,84,84,5.0,29500000.0
131,B. Leno,26,europe,2023,GK,right,3.0,84,87,1.0,27000000.0
132,N. Matić,29,europe,2020,MF,left,3.0,84,84,3.0,24000000.0
133,L. Hrádecký,28,europe,2023,GK,right,2.0,84,84,1.0,22000000.0
134,Illarramendi,28,europe,2023,MF,right,2.0,84,84,4.0,31000000.0
137,José Callejón,31,europe,2020,MF,right,3.0,84,84,3.0,27500000.0
139,M. Mandžukić,32,europe,2020,ST,right,3.0,84,84,3.0,25000000.0
140,Willian,29,south america,2020,ST,right,3.0,84,84,4.0,30500000.0
142,E. Banega,30,south america,2020,MF,right,3.0,84,84,4.0,29000000.0
143,A. Witsel,29,europe,2022,MF,right,3.0,84,84,4.0,24000000.0
145,Jonas,34,south america,2020,ST,right,3.0,84,84,3.0,16500000.0
148,Falcao,32,south america,2020,ST,right,3.0,84,84,3.0,25000000.0
149,K. Schmeichel,31,europe,2023,GK,right,2.0,84,84,1.0,19000000.0
153,Quaresma,34,europe,2020,MF,right,3.0,84,84,5.0,15500000.0
154,A. Robben,34,europe,2019,MF,left,4.0,84,84,4.0,15500000.0
155,O. Dembélé,21,europe,2022,ST,left,3.0,83,92,4.0,40000000.0
156,Gabriel Jesus,21,south america,2023,ST,right,2.0,83,92,4.0,41000000.0
157,Ronaldo Cabrais,26,south america,2021,ST,right,1.0,83,83,4.0,28000000.0
161,N. Keïta,23,africa,2023,MF,right,2.0,83,88,4.0,34000000.0
163,T. Lemar,22,europe,2023,MF,left,3.0,83,89,4.0,35500000.0
164,K. Coman,22,europe,2023,MF,right,2.0,83,87,5.0,34000000.0
165,J. Tah,22,europe,2023,DF,right,2.0,83,88,2.0,29500000.0
166,Anderson Talisca,24,south america,"Dec 31, 2018",MF,left,2.0,83,90,4.0,36500000.0
167,T. Werner,22,europe,2020,ST,right,3.0,83,87,3.0,34500000.0
169,L. Goretzka,23,europe,2022,MF,right,3.0,83,88,3.0,34000000.0
170,Q. Promes,26,europe,2023,MF,right,2.0,83,84,5.0,30500000.0
171,H. Ziyech,25,africa,2021,MF,left,3.0,83,86,4.0,32500000.0
173,Y. Carrasco,24,europe,2021,MF,right,3.0,83,86,4.0,33000000.0
174,Gerard Moreno,26,europe,2023,ST,left,1.0,83,85,4.0,32000000.0
175,Felipe,29,south america,2021,DF,right,3.0,83,83,2.0,20000000.0
176,M. Kovačić,24,europe,"Jun 30, 2019",MF,right,3.0,83,89,4.0,35000000.0
178,Manu Trigueros,26,europe,2022,MF,right,2.0,83,84,4.0,30000000.0
179,S. Gnabry,22,europe,2020,ST,right,2.0,83,88,4.0,34500000.0
185,Felipe Anderson,25,south america,2022,MF,right,3.0,83,85,4.0,31500000.0
188,Nacho Fernández,28,europe,2021,DF,right,2.0,83,85,2.0,24500000.0
189,T. Horn,25,europe,2023,GK,left,2.0,83,87,1.0,24000000.0
190,Allan,27,south america,2023,MF,right,2.0,83,83,4.0,26500000.0
191,F. Acerbi,30,europe,2023,DF,left,2.0,83,83,3.0,19000000.0
195,K. Kampl,27,europe,2021,MF,right,2.0,83,83,3.0,26500000.0
196,Neto,28,south america,2021,GK,right,2.0,83,84,1.0,21000000.0
197,O. Baumann,28,europe,2021,GK,right,2.0,83,84,1.0,21000000.0
198,I. Gueye,28,africa,2022,MF,right,2.0,83,83,3.0,21000000.0
199,H. Mkhitaryan,29,europe,2021,MF,right,3.0,83,83,4.0,25500000.0
202,K. Glik,30,europe,2021,DF,right,3.0,83,83,2.0,19000000.0
203,K. Strootman,28,europe,2023,MF,left,3.0,83,83,3.0,21000000.0
205,Oscar,26,south america,2020,MF,right,3.0,83,84,4.0,30500000.0
207,Luiz Gustavo,30,south america,2021,DF,left,3.0,83,83,3.0,19000000.0
209,David Luiz,31,south america,2019,DF,right,4.0,83,83,3.0,17500000.0
210,R. Fährmann,29,europe,2022,GK,right,2.0,83,84,1.0,20000000.0
211,Juan Mata,30,europe,2019,MF,left,3.0,83,83,4.0,24500000.0
212,Adán,31,europe,2020,GK,left,2.0,83,83,1.0,15500000.0
213,Rui Patrício,30,europe,2022,GK,left,3.0,83,83,1.0,16500000.0
214,Y. Sommer,29,europe,2021,GK,right,3.0,83,84,1.0,20000000.0
215,Javi Martínez,29,europe,2021,MF,right,3.0,83,83,2.0,20000000.0
216,L. Bender,29,europe,2021,DF,right,3.0,83,83,2.0,20000000.0
217,Lucas Leiva,31,south america,2020,MF,right,3.0,83,83,3.0,17500000.0
218,S. Mandanda,33,europe,2020,GK,right,3.0,83,83,1.0,13000000.0
220,M. Dembélé,30,europe,2019,MF,left,3.0,83,83,4.0,24000000.0
222,R. Jarstein,33,europe,2021,GK,right,2.0,83,83,1.0,13000000.0
223,D. De Rossi,34,europe,2019,MF,right,3.0,83,83,2.0,8000000.0
224,Pepe Reina,35,europe,2021,GK,right,3.0,83,83,1.0,6000000.0
225,J. Pavlenka,26,europe,2021,GK,right,1.0,82,85,1.0,19500000.0
226,M. de Ligt,18,europe,2021,DF,right,2.0,82,91,2.0,27000000.0
228,Arthur,21,south america,2024,MF,right,1.0,82,90,4.0,32500000.0
229,G. Donnarumma,19,europe,2021,GK,right,3.0,82,93,1.0,29000000.0
230,Rosberto Dourado,30,south america,2018,MF,right,1.0,82,82,2.0,16500000.0
232,Raphaelito Anjos,30,south america,2021,GK,right,1.0,82,82,1.0,14000000.0
234,Gonçalo Guedes,21,europe,2024,MF,right,1.0,82,86,4.0,29000000.0
236,Malcom,21,south america,2023,ST,left,2.0,82,89,4.0,31500000.0
240,A. Kramarić,27,europe,2022,MF,right,2.0,82,83,4.0,26000000.0
242,Dani García,28,europe,2022,MF,right,2.0,82,83,3.0,20000000.0
243,F. Bernardeschi,24,europe,2022,MF,left,2.0,82,87,5.0,29500000.0
244,J. Brandt,22,europe,2021,MF,right,2.0,82,88,4.0,30500000.0
245,D. Rugani,23,europe,2021,DF,right,2.0,82,86,2.0,24500000.0
246,Samu Castillejo,23,europe,2023,MF,left,2.0,82,86,4.0,29000000.0
247,João Cancelo,24,europe,2023,DF,right,2.0,82,88,4.0,25500000.0
248,A. Romagnoli,23,europe,2022,DF,left,2.0,82,89,2.0,26500000.0
249,T. Partey,25,africa,2023,MF,right,1.0,82,88,3.0,25500000.0
250,Fred,25,south america,2023,MF,left,1.0,82,84,4.0,26500000.0
252,A. Belotti,24,europe,2021,ST,right,3.0,82,87,3.0,30000000.0
253,E. Forsberg,26,europe,2022,MF,right,2.0,82,83,4.0,26000000.0
257,A. Rüdiger,25,europe,2022,DF,right,2.0,82,84,2.0,22500000.0
261,S. Sané,27,africa,2022,DF,right,2.0,82,82,3.0,18500000.0
263,Rafinha,25,south america,2020,MF,left,2.0,82,87,4.0,29500000.0
264,Gabriel Paulista,27,south america,2022,DF,right,2.0,82,83,2.0,21000000.0
265,Morata,25,europe,2022,ST,right,3.0,82,85,3.0,28500000.0
266,J. Cillessen,29,europe,2021,GK,right,3.0,82,84,1.0,18000000.0
267,W. Ben Yedder,27,europe,2021,ST,right,2.0,82,82,4.0,23500000.0
268,C. Bakambu,27,africa,2021,ST,right,2.0,82,83,3.0,26000000.0
269,Pablo Sarabia,26,europe,2020,MF,left,2.0,82,83,4.0,26000000.0
271,Luis Alberto,25,europe,2022,ST,right,2.0,82,85,4.0,28500000.0
274,S. Coates,27,south america,2022,DF,right,3.0,82,83,2.0,21000000.0
277,Víctor Ruiz,29,europe,2019,DF,left,2.0,82,83,2.0,19500000.0
278,T. Delaney,26,europe,2022,MF,left,2.0,82,83,3.0,21500000.0
280,M. Götze,26,europe,2020,MF,right,4.0,82,85,4.0,27000000.0
282,J. Pastore,29,south america,2022,MF,right,3.0,82,82,4.0,21500000.0
283,Pedro,30,europe,2020,ST,right,3.0,82,82,4.0,21000000.0
285,R. Bürki,27,europe,2021,GK,right,3.0,82,85,1.0,18500000.0
287,S. Nzonzi,29,europe,2022,MF,right,2.0,82,82,2.0,17000000.0
288,Marlos,30,europe,2019,MF,left,2.0,82,82,5.0,21000000.0
291,A. Kolarov,32,europe,2020,DF,left,2.0,82,82,3.0,12500000.0
293,S. Giovinco,31,europe,2019,ST,right,2.0,82,82,4.0,20000000.0
294,M. Arnautović,29,europe,2022,ST,right,3.0,82,82,4.0,22000000.0
295,N. Gaitán,30,south america,2021,MF,left,3.0,82,82,4.0,21000000.0
297,M. Kruse,30,europe,2019,ST,left,2.0,82,82,4.0,21500000.0
298,M. Parolo,33,europe,2020,MF,right,2.0,82,82,3.0,9000000.0
299,L. Fejsa,29,europe,2021,MF,right,2.0,82,82,2.0,17000000.0
302,G. Wijnaldum,27,europe,2021,MF,right,3.0,82,82,4.0,23000000.0
305,Marcano,31,europe,2021,DF,left,3.0,82,82,2.0,15000000.0
307,E. Garay,31,south america,2020,DF,right,3.0,82,82,2.0,15000000.0
308,Jardel,32,south america,2021,DF,right,2.0,82,82,2.0,12500000.0
309,S. Sirigu,31,europe,2022,GK,right,3.0,82,82,1.0,13500000.0
310,E. Viviano,32,europe,2020,GK,left,2.0,82,82,1.0,12500000.0
311,L. Koscielny,32,europe,2020,DF,right,3.0,82,82,2.0,12500000.0
312,A. Consigli,31,europe,2022,GK,right,2.0,82,82,1.0,13500000.0
313,L. Biglia,32,south america,2020,MF,right,3.0,82,82,3.0,12500000.0
314,Dani Alves,35,south america,2019,DF,right,4.0,82,82,4.0,4800000.0
316,Aduriz,37,europe,2019,ST,right,3.0,82,82,3.0,8000000.0
317,P. Čech,36,europe,2019,GK,left,4.0,82,82,1.0,3000000.0
324,Nélson Semedo,24,europe,2022,DF,right,2.0,81,86,4.0,20000000.0
325,Pablo Fornals,22,europe,2022,MF,right,1.0,81,86,4.0,24000000.0
330,Morales,30,europe,2021,ST,right,1.0,81,81,4.0,17000000.0
332,M. Politano,24,europe,"Jun 30, 2019",MF,left,2.0,81,84,4.0,22500000.0
333,M. Brozović,25,europe,2022,MF,right,2.0,81,84,3.0,18500000.0
334,Williams,24,europe,2025,ST,right,2.0,81,87,4.0,24500000.0
335,A. Correa,23,south america,2024,MF,right,1.0,81,87,4.0,24500000.0
336,A. Christensen,22,europe,2022,DF,right,2.0,81,88,2.0,21500000.0
338,T. Strakosha,23,europe,2019,GK,right,1.0,81,86,1.0,17000000.0
340,P. Zieliński,24,europe,2021,MF,right,3.0,81,88,4.0,24500000.0
341,Ricardo Pereira,24,europe,2023,DF,right,3.0,81,85,3.0,19000000.0
344,A. Doucouré,25,europe,2023,MF,right,2.0,81,85,3.0,19500000.0
345,J. Martínez,25,south america,2020,ST,right,1.0,81,84,3.0,22500000.0
346,C. Bacca,31,south america,2022,ST,right,3.0,81,81,3.0,16000000.0
347,A. Plea,25,europe,2023,ST,right,2.0,81,83,4.0,22000000.0
349,M. Nastasić,25,europe,2022,DF,left,2.0,81,84,2.0,18500000.0
350,A. Milik,24,europe,2021,ST,left,3.0,81,88,4.0,25500000.0
351,M. Sabitzer,24,europe,2022,MF,right,2.0,81,84,3.0,22500000.0
352,B. Mendy,23,europe,2022,DF,left,2.0,81,86,3.0,20000000.0
353,C. Kramer,27,europe,2021,MF,right,2.0,81,82,3.0,17000000.0
354,S. Vrsaljko,26,europe,"Jun 30, 2019",DF,right,2.0,81,84,3.0,18000000.0
355,T. Hazard,25,europe,2020,ST,right,2.0,81,83,4.0,21500000.0
356,K. Bellarabi,28,europe,2021,MF,right,3.0,81,81,4.0,18000000.0
357,S. Zaza,27,europe,"Jun 30, 2019",ST,left,2.0,81,82,4.0,21000000.0
358,F. Ghoulam,27,africa,2022,DF,left,2.0,81,82,3.0,16500000.0
359,B. Lecomte,27,europe,2021,GK,left,2.0,81,84,1.0,15000000.0
361,K. Volland,25,europe,2021,ST,left,2.0,81,83,3.0,22000000.0
362,Paco Alcácer,24,europe,2023,ST,right,2.0,81,85,3.0,23500000.0
363,Vitolo,28,europe,2022,MF,right,2.0,81,81,3.0,18000000.0
366,C. Aránguiz,29,south america,2020,MF,right,2.0,81,81,3.0,17000000.0
370,X. Shaqiri,26,europe,2023,MF,left,3.0,81,81,5.0,19000000.0
373,K. Vogt,26,europe,2022,DF,right,2.0,81,82,2.0,17500000.0
374,Ander Herrera,28,europe,2019,MF,right,3.0,81,81,3.0,17500000.0
375,E. Salvio,27,south america,2019,ST,right,2.0,81,81,4.0,18500000.0
378,Hulk,31,south america,2020,MF,left,4.0,81,81,4.0,15500000.0
382,L. Stindl,29,europe,2021,ST,right,2.0,81,81,4.0,18000000.0
384,D. Perotti,29,south america,2021,ST,right,3.0,81,81,4.0,17500000.0
387,S. Kjær,29,europe,2021,DF,right,3.0,81,81,2.0,14000000.0
388,S. Bender,29,europe,2021,DF,right,2.0,81,81,2.0,14000000.0
389,M. Valbuena,33,europe,2019,MF,right,3.0,81,81,3.0,11000000.0
392,L. Piszczek,33,europe,2020,DF,right,3.0,81,81,2.0,7000000.0
394,D. Wass,29,europe,2022,DF,right,2.0,81,81,4.0,17000000.0
395,E. Lamela,26,south america,2022,MF,left,2.0,81,82,4.0,21000000.0
398,Renato Augusto,30,south america,2021,MF,right,2.0,81,81,3.0,16500000.0
399,A. Valencia,32,south america,2019,MF,right,2.0,81,81,3.0,10000000.0
401,João Moutinho,31,europe,2020,MF,right,3.0,81,81,3.0,15000000.0
402,Borja Valero,33,europe,2020,MF,right,3.0,81,81,4.0,11000000.0
404,B. Gomis,32,europe,2020,ST,right,3.0,81,81,4.0,14000000.0
405,Manuel Fernandes,32,europe,2019,MF,right,2.0,81,81,4.0,14000000.0
407,Raffael,33,south america,2019,ST,right,2.0,81,81,4.0,11000000.0
408,Nani,31,europe,2020,MF,right,3.0,81,81,5.0,15500000.0
410,J. Mathieu,34,europe,2019,DF,left,3.0,81,81,2.0,5500000.0
411,Joaquín,36,europe,2020,ST,right,2.0,81,81,4.0,6000000.0
412,M. Gómez,21,south america,2022,ST,right,1.0,80,85,3.0,20500000.0
414,T. Ndombele,21,europe,2023,MF,right,1.0,80,89,4.0,22500000.0
415,H. Aouar,20,europe,2023,MF,right,1.0,80,90,4.0,23500000.0
417,Odriozola,22,europe,2024,DF,right,1.0,80,88,3.0,18500000.0
418,M. Almirón,24,south america,2019,MF,left,1.0,80,84,4.0,19500000.0
419,Welington Dano,30,south america,2021,DF,left,1.0,80,80,4.0,10500000.0
420,Everton Andrão,34,south america,2021,MF,right,1.0,80,80,2.0,4500000.0
421,Oyarzabal,21,europe,2024,MF,left,1.0,80,87,3.0,21000000.0
422,F. Balbuena,26,south america,2021,DF,right,1.0,80,83,2.0,15500000.0
425,W. Ndidi,21,africa,2024,MF,right,1.0,80,85,3.0,17000000.0
434,T. Bakayoko,23,europe,"Jun 30, 2019",MF,right,2.0,80,85,3.0,17000000.0
435,M. Dahoud,22,europe,2022,MF,right,2.0,80,86,4.0,20000000.0
436,Rafa,25,europe,2021,ST,right,2.0,80,83,4.0,18500000.0
437,K. Baldé,23,africa,"Jun 30, 2019",MF,right,2.0,80,85,4.0,20000000.0
438,G. Rulli,26,south america,2022,GK,right,3.0,80,85,1.0,14000000.0
440,Rony Lopes,22,europe,2022,MF,left,2.0,80,85,4.0,20000000.0
441,Santi Mina,22,europe,2021,ST,right,1.0,80,85,3.0,20000000.0
442,K. Demirbay,24,europe,2022,MF,left,2.0,80,84,4.0,19500000.0
445,N. Tagliafico,25,south america,2022,DF,left,2.0,80,82,3.0,15000000.0
447,Pacheco,26,europe,2020,GK,left,1.0,80,83,1.0,13000000.0
448,E. Can,24,europe,2022,MF,right,2.0,80,85,3.0,19500000.0
450,M. Ginter,24,europe,2021,DF,right,2.0,80,82,2.0,15500000.0
452,T. Stepanenko,28,europe,2022,MF,left,1.0,80,80,3.0,12000000.0
454,Z. Feddal,28,africa,2021,DF,left,1.0,80,80,2.0,12000000.0
455,S. Haller,24,europe,2021,ST,right,1.0,80,83,3.0,19000000.0
458,Portu,26,europe,2022,MF,right,1.0,80,81,3.0,17500000.0
459,M. Batshuayi,24,europe,"Jun 30, 2019",ST,right,2.0,80,84,4.0,19500000.0
460,E. Zahavi,30,asia,2020,ST,right,1.0,80,80,4.0,14500000.0
461,T. Vaclík,29,europe,2021,GK,right,1.0,80,81,1.0,11500000.0
463,Héctor Bellerín,23,europe,2023,DF,right,3.0,80,85,3.0,16500000.0
466,J. Vestergaard,25,europe,2022,DF,right,2.0,80,81,2.0,14500000.0
470,J. Murillo,26,south america,2022,DF,right,2.0,80,84,2.0,16000000.0
471,M. Badelj,29,europe,2022,MF,right,2.0,80,80,3.0,11500000.0
473,N. Schulz,25,europe,2020,DF,left,1.0,80,81,3.0,14500000.0
475,M. Uth,26,europe,2022,ST,left,1.0,80,81,3.0,17500000.0
476,Cristian Tello,26,europe,2022,MF,right,2.0,80,80,3.0,16000000.0
477,D. Vida,29,europe,2022,DF,right,3.0,80,80,2.0,11500000.0
478,L. Muriel,27,south america,2022,ST,right,2.0,80,81,4.0,17500000.0
479,V. Aboubakar,26,africa,2021,ST,right,3.0,80,82,5.0,18000000.0
482,J. Matip,26,africa,2020,DF,right,2.0,80,82,2.0,15000000.0
484,Sergi Enrich,28,europe,2019,ST,right,2.0,80,80,3.0,15500000.0
485,A. Yarmolenko,28,europe,2022,MF,left,3.0,80,80,4.0,15000000.0
486,Hugo Mallo,27,europe,2023,DF,right,2.0,80,81,3.0,13500000.0
487,André Almeida,27,europe,2021,DF,right,2.0,80,80,3.0,12000000.0
489,R. Rodríguez,25,europe,2021,DF,left,3.0,80,83,4.0,15500000.0
490,R. Pereyra,27,south america,2021,MF,right,2.0,80,80,4.0,15500000.0
491,Mario Gaspar,27,europe,2023,DF,right,2.0,80,80,3.0,12000000.0
492,Maicon,29,south america,2021,DF,right,2.0,80,80,2.0,11500000.0
493,D. Blind,28,europe,2022,DF,left,3.0,80,80,3.0,12000000.0
495,A. Ljajić,26,europe,"Jun 30, 2019",MF,right,2.0,80,81,4.0,17500000.0
496,Canales,27,europe,2022,MF,left,2.0,80,80,3.0,15500000.0
497,Iago Falqué,28,europe,2022,ST,left,3.0,80,80,4.0,15000000.0
498,L. de Jong,27,europe,2021,ST,right,2.0,80,80,2.0,16000000.0
500,Muniain,25,europe,2024,MF,right,2.0,80,83,4.0,18500000.0
501,Susaeta,30,europe,2019,ST,right,2.0,80,80,4.0,14000000.0
502,S. Rudy,28,europe,2022,MF,right,2.0,80,80,3.0,12000000.0
503,K. Trapp,27,europe,"Jun 30, 2019",GK,right,2.0,80,81,1.0,11500000.0
504,V. Wanyama,27,africa,2021,MF,right,2.0,80,82,2.0,14500000.0
507,Camacho,28,europe,2021,MF,right,2.0,80,81,2.0,13500000.0
508,S. Ulreich,29,europe,2021,GK,right,2.0,80,80,1.0,10000000.0
509,M. Musacchio,27,south america,2021,DF,right,3.0,80,80,3.0,12500000.0
516,Alexandre Pato,28,south america,2019,ST,right,3.0,80,80,4.0,15500000.0
518,Nacho Monreal,32,europe,2019,DF,left,2.0,80,80,3.0,8000000.0
519,Beñat,31,europe,2020,MF,right,2.0,80,80,3.0,12500000.0
520,A. Fernández,32,south america,2019,MF,right,2.0,80,80,4.0,11000000.0
524,S. Romero,31,south america,2021,GK,right,3.0,80,80,1.0,9000000.0
525,D. Criscito,31,europe,2023,DF,left,2.0,80,80,3.0,10000000.0
528,Raúl García,31,europe,2020,MF,right,2.0,80,80,4.0,13000000.0
529,S. Defour,30,europe,2019,MF,right,2.0,80,80,3.0,13500000.0
530,M. Škrtel,33,europe,2019,DF,right,3.0,80,80,2.0,6000000.0
533,L. Diarra,33,europe,2019,MF,right,3.0,80,80,3.0,6000000.0
534,L. Perrin,32,europe,2020,DF,right,2.0,80,80,2.0,8500000.0
535,Dante,34,south america,2019,DF,left,3.0,80,80,2.0,4500000.0
536,A. Gignac,32,europe,2019,ST,right,3.0,80,80,3.0,12000000.0
539,Juanfran,33,europe,2019,DF,right,3.0,80,80,3.0,5500000.0
541,Santi Cazorla,33,europe,2019,MF,right,3.0,80,80,5.0,8500000.0
542,Jesús Navas,32,europe,2021,MF,right,2.0,80,80,3.0,11500000.0
543,J. Mascherano,34,south america,2019,MF,right,4.0,80,80,2.0,4500000.0
544,A. Mirante,34,europe,2021,GK,right,2.0,80,80,1.0,6000000.0
545,D. Srna,36,europe,2019,DF,right,3.0,80,80,3.0,1700000.0
546,B. Schweinsteiger,33,europe,2019,DF,right,4.0,80,80,3.0,6000000.0
549,Fernando Torres,34,europe,2019,ST,right,3.0,80,80,3.0,8000000.0
550,S. Sorrentino,39,europe,2022,GK,right,2.0,80,80,1.0,1000000.0
551,V. Tsygankov,20,europe,2023,MF,left,1.0,79,86,4.0,18000000.0
552,Rúben Dias,21,europe,2023,DF,right,1.0,79,85,2.0,15000000.0
553,David Neres,21,south america,2022,ST,left,2.0,79,86,5.0,18000000.0
554,Raphinha,21,south america,2022,MF,left,1.0,79,86,4.0,18000000.0
557,L. Martínez,20,south america,2023,ST,right,1.0,79,86,4.0,18000000.0
559,Luimo Boas Santos,30,south america,2021,ST,right,1.0,79,79,4.0,12000000.0
560,Gabri Prestão,26,south america,2021,GK,right,1.0,79,79,1.0,9000000.0
561,Melvin Parrela,30,south america,2021,MF,right,1.0,79,79,2.0,9500000.0
562,Antônio Chiamuloira,30,south america,2018,DF,left,1.0,79,79,2.0,9500000.0
