title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
7월 32일,동국대학교 충무로영상제작센터,드라마,2010-04-22,96,청소년 관람불가,진승현,,0,10,4,742
청춘학당 : 풍기문란 보쌈 야사,BoXoo 엔터테인먼트,멜로/로맨스,2014-03-27,90,청소년 관람불가,도창훈,,0,100,4,3772
부당거래,CJ 엔터테인먼트,느와르,2010-10-28,119,청소년 관람불가,류승완,,0,471,4,2723028
콘돌은 날아간다,(주)마운틴픽쳐스,드라마,2013-05-30,102,청소년 관람불가,전수일,984.0,1,23,3,1209
페어 러브,CJ 엔터테인먼트,드라마,2010-01-14,117,12세 관람가,신연식,,0,106,2,27083
극적인 하룻밤,CGV 아트하우스,멜로/로맨스,2015-12-03,107,청소년 관람불가,하기호,,0,368,4,321641
빅매치,(주)NEW,액션,2014-11-26,112,15세 관람가,최호,1159954.0,2,600,4,1177435
극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!,메가박스(주)플러스엠,애니메이션,2014-08-07,80,전체 관람가,방형우,,0,44,3,21939
황구,골든타이드픽처스,코미디,2014-10-16,87,전체 관람가,박용집,695201.5,2,140,3,72
워킹걸,메가박스(주)플러스엠,코미디,2015-01-07,112,청소년 관람불가,정범식,583770.0,3,315,3,151550
나의 선택 - 잊혀진 가방 그 못다한 이야기,파이오니아21,다큐멘터리,2010-07-29,84,전체 관람가,김상철,,0,20,10,15687
에스엠타운 더 스테이지,디 씨드,다큐멘터리,2015-08-13,107,전체 관람가,배성상,,0,9,11,35857
미조,(주)마운틴픽쳐스,드라마,2014-10-02,72,청소년 관람불가,남기웅,427.0,2,107,2,112
원더풀 라디오,(주)쇼박스,드라마,2012-01-05,120,15세 관람가,권칠인,75740.0,1,279,2,986287
막걸스,드림팩트 엔터테인먼트,코미디,2015-05-21,103,15세 관람가,김기영,,0,125,8,2410
미궁: 비밀애,(주) 케이알씨지,멜로/로맨스,2015-04-23,69,청소년 관람불가,조조 히데오,,0,1,4,514
파괴된 사나이,시너지,공포,2010-07-01,114,청소년 관람불가,우민호,,0,290,5,1012310
친구 2,롯데엔터테인먼트,느와르,2013-11-14,124,청소년 관람불가,곽경택,372863.0,2,319,3,2971475
              개를 훔치는 완벽한 방법,리틀빅픽처스,드라마,2014-12-31,109,전체 관람가,김성호,495535.0,1,292,8,306642
청춘정담,디마엔터테인먼트,멜로/로맨스,2013-11-21,97,15세 관람가,문인수,874146.666666667,3,67,4,484
이방인들,판다미디어,드라마,2012-05-10,127,12세 관람가,최용석,,0,24,3,432
간첩,롯데엔터테인먼트,드라마,2012-09-20,115,15세 관람가,우민호,1012310.0,1,372,5,1310895
그 참을 수 없는 맛,(주) 케이알씨지,드라마,2014-07-09,74,청소년 관람불가,이지형,,0,5,3,1697
도리화가,CJ 엔터테인먼트,드라마,2015-11-25,109,12세 관람가,이종필,385977.5,2,519,3,317505
의뢰인,(주)쇼박스,드라마,2011-09-29,123,15세 관람가,손영성,39555.0,1,68,3,2393103
열정같은소리하고있네,(주)NEW,드라마,2015-11-25,106,15세 관람가,정기훈,1502930.25,4,341,2,654407
화끈한 써비스: 어느 잔인한 미용사의,골든타이드픽처스,드라마,2015-01-29,72,청소년 관람불가,남기웅,427.0,2,80,2,148
세상끝의 사랑,(주)스톰픽쳐스코리아,멜로/로맨스,2015-11-12,100,청소년 관람불가,김인식,115412.66666666699,3,132,2,4746
어디로 갈까요?,(주)마운틴픽쳐스,멜로/로맨스,2013-05-16,97,청소년 관람불가,진승현,742.0,1,59,4,488
완전 소중한 사랑,(주)마운틴픽쳐스,멜로/로맨스,2013-11-21,118,12세 관람가,김진민,20196.0,2,130,2,20303
사물의 비밀,(주)예지림 엔터테인먼트,멜로/로맨스,2011-11-17,112,청소년 관람불가,이영미,,0,110,5,8757
청포도 사탕: 17년 전의 약속,(주)마운틴픽쳐스,미스터리,2012-09-06,104,15세 관람가,김희정,6053.0,1,17,4,1637
아저씨,CJ 엔터테인먼트,액션,2010-08-04,119,청소년 관람불가,이정범,,0,509,2,6178665
원 오브 어 카인드 3D,골든타이드픽처스,뮤지컬,2013-10-31,93,전체 관람가,손석,,0,0,1,8083
사랑이 무서워,롯데엔터테인먼트,멜로/로맨스,2011-03-10,112,15세 관람가,정우철,5849451.0,3,310,2,402876
검은손,(주)스톰픽쳐스코리아,공포,2015-04-16,96,청소년 관람불가,박재식,1715370.0,1,108,2,11650
덕수리 5형제,롯데엔터테인먼트,코미디,2014-12-04,102,15세 관람가,전형준,674787.666666667,3,309,6,210775
별일아니다,(주) 영화사조제,드라마,2014-02-13,124,15세 관람가,김상석,809.0,1,12,2,236
바비,(주) 케이알씨지,드라마,2010-02-04,116,15세 관람가,에밀리오 에스테베즈,,0,19,25,2821
심야의 FM,롯데엔터테인먼트,공포,2010-10-14,106,청소년 관람불가,김상만,1205200.25,4,344,2,1208310
만추,보람엔터테인먼트,드라마,2011-02-17,115,15세 관람가,김태용,,0,204,2,849635
레인보우,인디스토리,드라마,2010-11-18,91,12세 관람가,신수원,,0,74,4,2775
더 파이브,CJ 엔터테인먼트,공포,2013-11-14,123,청소년 관람불가,정연식,,0,174,7,731212
두 개의 선,(주)시네마달,다큐멘터리,2012-02-09,82,15세 관람가,지민,,0,15,2,2296
반창꼬,(주)NEW,드라마,2012-12-19,120,15세 관람가,정기훈,1178641.33333333,3,264,2,2475797
먹이사슬,노바엔터테인먼트,멜로/로맨스,2014-09-17,100,청소년 관람불가,한동호,,0,0,6,2070
야누스: 욕망의 두 얼굴,(주)패스파인더씨앤씨,미스터리,2014-08-14,83,청소년 관람불가,손영국,332.0,1,0,3,4122
거짓말,(주)대명문화공장,드라마,2015-10-29,98,청소년 관람불가,김동명,7763.0,1,72,2,5212
인간중독,NEW,드라마,2014-05-14,132,청소년 관람불가,김대우,1322801.0,4,379,4,1441990
무적자,CJ 엔터테인먼트,액션,2010-09-16,124,15세 관람가,송해성,1163526.33333333,3,546,4,1546132
두 번의 결혼식과 한 번의 장례식,영화사 진진,코미디,2012-06-21,106,15세 관람가,김조광수,,0,155,4,51120
화창한 그날들,(주)온비즈넷,공포,2014-03-14,90,청소년 관람불가,방현준,,0,12,3,310
렛 미 아웃,백두대간,드라마,2013-08-15,97,12세 관람가,소재영,922680.0,1,29,2,1040
경복,KT&G 상상마당,드라마,2013-07-11,69,15세 관람가,최시형,,0,17,2,651
잉투기,무비꼴라쥬,액션,2013-11-14,98,15세 관람가,엄태화,,0,65,3,17341
사이비,NEW,애니메이션,2013-11-21,100,청소년 관람불가,연상호,,0,136,4,22525
두 개의 달,롯데엔터테인먼트,미스터리,2012-07-12,86,15세 관람가,김동빈,321.0,1,167,4,426706
신이 보낸 사람,(주)마운틴픽쳐스,드라마,2014-02-13,112,15세 관람가,김진무,,0,138,1,424778
26년,인벤트 디,액션,2012-11-29,135,15세 관람가,조근현,2636385.0,1,365,3,2963652
관상,(주)쇼박스,드라마,2013-09-11,139,15세 관람가,한재림,1242778.0,2,298,6,9135806
비념,인디스토리,다큐멘터리,2013-04-03,93,15세 관람가,임흥순,,0,21,2,2344
퇴마: 무녀굴,씨네그루(주)키다리이엔티,공포,2015-08-20,105,15세 관람가,김휘,2043525.6,5,360,6,120806
풍산개,(주)NEW,드라마,2011-06-23,121,청소년 관람불가,전재홍,89858.0,1,95,2,714136
맨홀,롯데엔터테인먼트,공포,2014-10-08,101,청소년 관람불가,신재영,,0,350,3,133665
봄,스튜디오후크,드라마,2014-11-20,102,청소년 관람불가,조근현,2800018.5,2,216,3,14780
미국의 바람과 불,시네마 달,다큐멘터리,2012-07-26,118,15세 관람가,김경만,,0,6,0,652
레드마리아,시네마 달,다큐멘터리,2012-04-26,98,15세 관람가,경순,10393.5,2,4,10,2119
카페 서울,나이너스엔터테인먼트(주),드라마,2010-01-02,94,12세 관람가,타케 마사하루,,0,41,2,353
차형사,CJ 엔터테인먼트,코미디,2012-05-30,110,15세 관람가,신태라,1322196.0,1,391,5,1346754
여행,스폰지,드라마,2010-05-20,148,전체 관람가,배창호,,0,61,6,485
범죄와의 전쟁: 나쁜놈들 전성시대,(주)쇼박스,느와르,2012-02-02,133,청소년 관람불가,윤종빈,719587.0,1,308,2,4720050
"열여덟, 열아홉",(주)키노아이,멜로/로맨스,2012-03-01,94,15세 관람가,배광수,817317.666666667,3,96,5,1501
무명인,롯데엔터테인먼트,미스터리,2014-05-29,120,15세 관람가,김성수,20.0,1,262,2,3199
북촌방향,(주) 영화사조제,드라마,2011-09-08,79,청소년 관람불가,홍상수,,0,55,5,46212
오늘의 연애,CJ 엔터테인먼트,멜로/로맨스,2015-01-14,118,15세 관람가,박진표,1702621.66666667,3,397,4,1892125
그 사람 그 사랑 그 세상,THE 픽쳐스,다큐멘터리,2014-11-20,82,전체 관람가,권혁만,,0,1,4,42337
라스트 갓파더,영구아트무비,코미디,2010-12-29,103,12세 관람가,심형래,7855474.0,1,31,5,2541603
소녀괴담,리틀빅픽쳐스,공포,2014-07-02,90,15세 관람가,오인천,,0,268,2,481707
미스진은 예쁘다,어뮤즈,드라마,2013-03-14,98,12세 관람가,장희철,,0,13,2,2186
개똥이,(주)마운틴픽쳐스,드라마,2013-09-05,81,청소년 관람불가,김병준,467697.0,1,34,5,831
변호인,(주)NEW,드라마,2013-12-18,127,15세 관람가,양우석,,0,311,5,11374879
아빠를 빌려드립니다,메가박스(주)플러스엠,드라마,2014-11-20,112,12세 관람가,김덕수,1595962.33333333,3,295,5,172652
역린,롯데엔터테인먼트,드라마,2014-04-30,135,15세 관람가,이재규,201.0,1,650,5,3849696
하쿠나 마타타 - 지라니 이야기,이모션 픽처스,다큐멘터리,2010-12-09,90,전체 관람가,이창규,,0,0,6,1253
"울지마, 톤즈",(주)마운틴픽쳐스,다큐멘터리,2010-09-09,91,전체 관람가,구수환,,0,1,2,444327
심장이 뛰네,(주)키노아이,드라마,2011-07-28,105,청소년 관람불가,허은희,,0,50,5,677
조선명탐정 : 각시투구꽃의 비밀,쇼박스(주)미디어플렉스,코미디,2011-01-27,115,12세 관람가,김석윤,,0,335,3,4786259
기생령,(주)이스트스카이필름,공포,2011-08-05,92,청소년 관람불가,고석진,,0,88,4,96992
고녀석 맛나겠다2 : 함께라서 행복해,리틀빅픽처스,애니메이션,2015-07-29,80,전체 관람가,최경석,,0,5,10,56105
피에타,(주)NEW,드라마,2012-09-06,104,청소년 관람불가,김기덕,,0,119,2,603283
나의 독재자,롯데엔터테인먼트,드라마,2014-10-30,127,15세 관람가,이해준,604486.0,5,459,2,386074
심도,CJ 엔터테인먼트,드라마,2011-03-17,121,청소년 관람불가,하마구치 류스케,,0,92,4,74
이별계약,CJ 엔터테인먼트,드라마,2013-06-20,103,12세 관람가,오기환,331574.5,2,6,3,18343
방가? 방가!,시너지,코미디,2010-09-30,110,12세 관람가,육상효,703507.0,1,238,7,972431
아버지의 이메일,인디스토리,다큐멘터리,2014-04-24,90,12세 관람가,홍재희,,0,47,4,4343
죽이고 싶은,롯데엔터테인먼트,공포,2010-08-26,92,청소년 관람불가,조원희,,0,252,2,130784
거인,필라멘트 픽쳐스,드라마,2014-11-13,108,12세 관람가,김태용,4074.0,2,244,3,24020
고지전,(주)쇼박스,액션,2011-07-20,133,15세 관람가,장훈,2266504.33333333,3,238,11,2945151
미나문방구,롯데엔터테인먼트,드라마,2013-05-16,106,전체 관람가,정익환,752976.0,2,243,2,334323
하이프 네이션 : 힙합사기꾼,인벤트 디,느와르,2014-01-16,84,청소년 관람불가,박형우,,0,6,3,3996
Mr.아이돌,시너지,드라마,2011-11-03,114,12세 관람가,라희찬,1648547.0,3,485,3,74261
시선,나이너스엔터테인먼트(주),드라마,2014-04-16,89,12세 관람가,이장호,146455.666666667,3,106,1,12950
어우동: 주인 없는 꽃,조이앤컨텐츠그룹,멜로/로맨스,2015-01-29,101,청소년 관람불가,이수성,10692.6666666667,3,29,5,13240
돼지의 왕,KT&G 상상마당,애니메이션,2011-11-03,96,청소년 관람불가,연상호,,0,82,5,19896
통증,롯데엔터테인먼트,드라마,2011-09-07,104,15세 관람가,곽경택,,0,351,3,700272
정글피쉬2,(주)마운틴픽쳐스,드라마,2011-03-03,101,15세 관람가,김정환,,0,111,5,335
소셜포비아,CGV아트하우스,공포,2015-03-12,102,15세 관람가,홍석재,17341.0,1,208,10,251551
못,(주)마운틴픽쳐스,드라마,2014-11-20,109,15세 관람가,서호빈,,0,118,4,2386
완벽한 파트너,타임스토리그룹,코미디,2011-11-17,120,청소년 관람불가,박헌수,,0,60,4,90370
희망의 별 - 이퀘지레템바,마운틴 픽처스,다큐멘터리,2010-10-07,85,전체 관람가,이홍석,59648.5,2,1,2,1298
귀접,(주)휘엔터테인먼트,드라마,2014-05-29,84,청소년 관람불가,이현철,176079.5,2,56,4,228
첫사랑 열전,웃기씨네,멜로/로맨스,2010-05-05,114,15세 관람가,박범훈,,0,136,7,408
우리는 그곳에 있었다,(주)마운틴픽쳐스,다큐멘터리,2013-07-18,82,전체 관람가,박준기,,0,17,5,1581
슈퍼스타,(주)마운틴픽쳐스,코미디,2012-06-07,94,15세 관람가,임진순,,0,17,2,1575
슬로우 비디오,이십세기폭스코리아(주),드라마,2014-10-02,106,12세 관람가,김영탁,1764377.33333333,3,261,2,1169546
챔프,(주)쇼박스,드라마,2011-09-07,133,12세 관람가,이환경,819049.5,2,92,4,535657
멋진 인생,(주) 영화사조제,뮤지컬,2011-06-09,100,12세 관람가,신춘수,,0,4,4,3089
나도 때론 포르노그라피의 주인공이고 싶다,(주)피터팬픽쳐스,멜로/로맨스,2015-11-12,82,청소년 관람불가,장성수,846903.0,1,1,2,961
어쿠스틱,(주)키노아이,드라마,2010-10-28,88,12세 관람가,유상헌,45442.0,1,136,5,7908
아부의 왕,롯데엔터테인먼트,코미디,2012-06-21,118,15세 관람가,정승구,1604439.0,1,260,6,497880
설지,BoXoo 엔터테인먼트,드라마,2015-11-26,97,12세 관람가,박진순,122238.33333333301,3,51,3,380
그리움의 종착역,에스와이코마드,다큐멘터리,2012-05-24,99,전체 관람가,조성형,,0,2,6,163
지금은맞고그때는틀리다,(주)NEW,드라마,2015-09-24,121,청소년 관람불가,홍상수,39317.0,1,16,2,80734
그리울 련,(주)더픽쳐스,SF,2015-08-13,84,12세 관람가,한철수,,0,34,3,429
7광구,CJ E&M 영화부문,SF,2011-08-04,112,15세 관람가,김지훈,3640579.0,2,59,5,2242510
모래가 흐르는 강,시네마 달,다큐멘터리,2013-03-28,75,전체 관람가,지율스님,,0,11,0,10942
망대,골든타이드픽처스,다큐멘터리,2015-03-12,66,전체 관람가,문승욱,,0,13,0,65
아이들...,롯데엔터테인먼트,느와르,2011-02-17,132,15세 관람가,이규만,,0,423,5,1867849
폭풍전야,오퍼스픽쳐스,멜로/로맨스,2010-04-01,104,청소년 관람불가,조창호,1047.0,1,239,2,51760
아일랜드 - 시간을 훔치는 섬,(주)고앤고 필름,미스터리,2015-11-26,107,15세 관람가,박진성,322708.5,2,6,2,948
들꽃,인디플러그,드라마,2015-11-05,114,청소년 관람불가,박석영,,0,53,5,1295
법정스님의 의자,(주)키노아이,다큐멘터리,2011-05-12,75,전체 관람가,임성구,,0,0,2,9438
위험한 상견례 2,롯데엔터테인먼트,멜로/로맨스,2015-04-29,119,15세 관람가,김진영,809760.8,5,372,5,472695
악인은 너무 많다,어뮤즈,느와르,2011-12-15,75,청소년 관람불가,김회근,1681556.0,2,26,4,809
여덟 번의 감정,스폰지,드라마,2010-09-30,91,15세 관람가,성지혜,38.5,2,83,3,933
90분,사람과 사람들,공포,2012-08-23,94,청소년 관람불가,박선욱,,0,55,2,42
조선명탐정 : 사라진 놉의 딸,(주)쇼박스,코미디,2015-02-11,125,12세 관람가,김석윤,,0,456,3,3872015
응징자,인벤트 디,액션,2013-10-30,103,청소년 관람불가,신재호,44448.5,2,151,3,192347
내 깡패 같은 애인,(주)JK필름,코미디,2010-05-20,105,15세 관람가,김광식,,0,326,2,688639
결혼전야,씨너스엔터테인먼트(주),멜로/로맨스,2013-11-21,118,15세 관람가,홍지영,661220.5,2,224,9,1214839
혈투,KT,액션,2011-02-24,111,15세 관람가,박훈정,2270048.5,2,306,3,43947
고사 두 번째 이야기: 교생실습,NEW,공포,2010-07-28,84,15세 관람가,유선동,574101.0,2,307,5,857038
그랑프리,KT,드라마,2010-09-16,109,12세 관람가,양윤호,,0,358,2,167024
파닥파닥,인디스토리,애니메이션,2012-07-25,78,12세 관람가,이대희,,0,2,6,13429
나탈리,롯데엔터테인먼트,멜로/로맨스,2010-10-28,88,청소년 관람불가,주경중,17.0,1,214,4,94875
잠 못 드는 밤,인디스토리,드라마,2013-05-30,65,청소년 관람불가,장건재,,0,30,2,2270
권법형사 : 차이나타운,골든타이드픽처스,액션,2015-07-09,83,청소년 관람불가,박상현,,0,151,2,257
명왕성,싸이더스FNH,드라마,2013-07-11,107,15세 관람가,신수원,771699.0,1,129,3,16866
부러진 화살,(주)NEW,드라마,2012-01-18,100,15세 관람가,정지영,,0,207,4,3460212
꾸루꾸루와 친구들: 무지개 나무의 비밀,(주)팝엔터테인먼트,애니메이션,2015-11-19,74,전체 관람가,문제대,,0,0,4,7408
레드카펫,(주)프레인글로벌,멜로/로맨스,2014-10-23,117,15세 관람가,박범수,,0,270,2,316955
러브멘토,나우콘텐츠,멜로/로맨스,2014-04-17,74,청소년 관람불가,신혜성,1556.0,1,0,2,54
미션스쿨,홀리가든,드라마,2015-10-15,62,12세 관람가,강의석,,0,3,2,152
쥬로링 동물탐정 극장판,롯데엔터테인먼트,애니메이션,2014-12-18,75,전체 관람가,이종현,,0,200,6,25391
사토미를 찾아라,(주) 브릿지웍스,코미디,2014-10-16,88,청소년 관람불가,New Pistol,,0,48,8,2595
만신,(주)엣나인필름,다큐멘터리,2014-03-06,104,15세 관람가,박찬경,,0,227,4,36535
18: 우리들의 성장 느와르,어뮤즈,느와르,2014-08-14,104,청소년 관람불가,한윤선,35348.0,1,126,3,1124
시티 오브 크레인,위더스필름,드라마,2010-05-06,95,12세 관람가,문승욱,,0,65,3,90
돌연변이,필라멘트 픽쳐스,드라마,2015-10-22,93,12세 관람가,권오광,,0,282,3,100543
강남 1970,(주)쇼박스,액션,2015-01-21,135,청소년 관람불가,유하,1949111.0,4,719,3,2192276
사랑해! 진영아,인디스토리,드라마,2013-11-07,102,15세 관람가,이성은,7.0,1,112,5,4941
논픽션 다이어리,영화사 진진,다큐멘터리,2014-07-17,93,15세 관람가,정윤석,891.0,1,43,8,6389
다이빙벨: 진실은 침몰하지 않습니다,시네마달,다큐멘터리,2014-10-23,77,15세 관람가,이상호,,0,35,1,50308
소중한 날의 꿈,(주)에이원 엔터테인먼트,애니메이션,2011-06-23,98,전체 관람가,안재훈,,0,5,6,53235
또 하나의 약속,OAL(올),드라마,2014-02-06,120,12세 관람가,김태윤,1029415.66666667,3,71,6,497994
소규모 아카시아 밴드 이야기,이모션 픽처스,다큐멘터리,2010-01-14,90,12세 관람가,민환기,,0,18,7,791
하녀,싸이더스,공포,2010-05-13,106,청소년 관람불가,임상수,285381.0,1,302,4,2267579
이끼,시네마서비스,드라마,2010-07-14,163,청소년 관람불가,강우석,,0,353,8,3350311
살인재능,인디스토리,공포,2015-07-30,103,청소년 관람불가,전재홍,401997.0,2,111,2,1536
한여름의 판타지아,인디스토리,드라마,2015-06-11,97,전체 관람가,장건재,,0,7,3,36841
땅의 여자,시네마 달,다큐멘터리,2010-09-09,95,전체 관람가,권우정,,0,7,3,2418
세계일주,타임스토리그룹,SF,2015-03-26,91,12세 관람가,이항배,358299.0,1,92,3,4449
초능력자,(주)NEW,SF,2010-11-10,114,15세 관람가,김민석,8801639.0,2,500,3,2130645
짓2: 붉은 낙타,드림팩트 엔터테인먼트,멜로/로맨스,2015-08-06,84,청소년 관람불가,노진수,,0,44,3,808
나비와 바다,시네마 달,다큐멘터리,2013-01-24,89,12세 관람가,박배일,,0,6,2,1240
함정,인벤트 디,공포,2015-09-10,96,청소년 관람불가,권형진,462623.0,1,156,4,257996
고령화 가족,CJ 엔터테인먼트,드라마,2013-05-09,112,15세 관람가,송해성,1259177.75,4,310,5,1141222
집으로 가는 길,CJ 엔터테인먼트,드라마,2013-12-11,131,15세 관람가,방은진,846582.0,2,343,2,1854711
런닝맨,이십세기폭스코리아(주),액션,2013-04-04,127,15세 관람가,조동오,473852.33333333296,3,307,5,1422844
뽕똘,영화사 진진,코미디,2011-08-25,90,12세 관람가,오멸,,0,7,5,1356
바다,(주)마운틴픽쳐스,드라마,2011-09-01,98,12세 관람가,윤태식,,0,17,3,1198
다우더,어뮤즈,드라마,2014-11-06,84,15세 관람가,구혜선,,0,109,4,3789
"시바, 인생을 던져",인디플러그,드라마,2013-12-19,98,15세 관람가,이성규,4611.0,1,11,4,5105
생생활활,(주)팝엔터테인먼트,드라마,2013-03-21,100,청소년 관람불가,박철수,,0,38,6,294
육혈포 강도단,전망좋은영화사,느와르,2010-03-18,107,15세 관람가,강효진,37518.0,1,318,3,1214237
나를 닮은 얼굴,영화사 진진,다큐멘터리,2010-09-30,75,전체 관람가,태미 추,,0,3,2,893
회복,스토리셋,다큐멘터리,2010-01-14,94,12세 관람가,김종철,,0,54,1,155281
메이드 인 차이나,김기덕 필름,드라마,2015-06-25,100,청소년 관람불가,김동후,,0,124,2,419
이층의 악당,KT,코미디,2010-11-24,115,15세 관람가,손재곤,2077590.0,1,428,2,596864
뒷담화: 감독이 미쳤어요,필라멘트 픽쳐스,드라마,2013-02-28,85,12세 관람가,이재용,495068.5,2,173,14,5317
에일리언 비키니,인디스토리,SF,2011-08-25,75,청소년 관람불가,오영두,430920.5,2,6,2,1089
친애하는 지도자동지께,이상우필름,드라마,2015-12-31,99,청소년 관람불가,이상우,,0,40,3,339
죽지않아,씨네굿필름,공포,2013-08-08,107,청소년 관람불가,황철민,,0,14,3,1426
왕자가 된 소녀들,영희야놀자,다큐멘터리,2013-04-18,79,전체 관람가,김혜정,,0,18,6,1806
꿍따리 유랑단,(주)키노아이,다큐멘터리,2011-12-01,72,전체 관람가,김영진,,0,3,7,179
관계,(주) 브릿지웍스,멜로/로맨스,2014-08-27,91,청소년 관람불가,김명서,,0,57,3,2146
미쓰 마마,찬란,다큐멘터리,2012-10-18,82,15세 관람가,백연아,2914.0,1,0,4,1526
개: dog eat dog,어썸 피플,느와르,2015-03-05,101,청소년 관람불가,황욱,,0,58,5,1504
"씨, 베토벤",인디스토리,드라마,2014-03-27,90,15세 관람가,민복기,,0,34,4,842
곤충왕국 3D,골든타이드픽처스,다큐멘터리,2014-08-14,85,전체 관람가,김진만,11871.0,1,1,3,11263
나는 나비,인디플러그,다큐멘터리,2010-12-02,101,전체 관람가,정흠문,,0,37,4,4746
파티51,인디스토리,다큐멘터리,2014-12-11,102,청소년 관람불가,정용택,,0,41,7,2788
그대를 사랑합니다,(주)NEW,드라마,2011-02-17,118,15세 관람가,추창민,1552541.0,2,304,4,1649407
